ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
0.009577,-0.244209,10.160992,0.033175,0.055291,-0.018253
0.045490,-0.244209,10.151415,0.031043,0.056490,-0.018253
0.000000,-0.282516,10.240001,0.031309,0.056757,-0.018119
0.047884,-0.277727,10.141838,0.030377,0.056090,-0.018652
-0.007183,-0.203507,10.177752,0.031443,0.057156,-0.019452
0.050278,-0.253785,10.208876,0.031842,0.054625,-0.020118
0.016759,-0.313640,10.115502,0.031842,0.055291,-0.019052
-0.007183,-0.265756,10.297462,0.031975,0.056757,-0.020384
-0.098162,-0.196325,10.103531,0.031842,0.055424,-0.018786
0.000000,-0.289698,10.304645,0.031842,0.057689,-0.018253
-0.055067,-0.275333,10.168175,0.032109,0.057556,-0.017986
0.038307,-0.256180,10.247183,0.032375,0.057156,-0.019851
0.007183,-0.292093,10.165780,0.030643,0.056090,-0.019585
-0.019154,-0.272939,10.182540,0.032109,0.055824,-0.019319
0.038307,-0.260968,10.146626,0.032508,0.055691,-0.019452
-0.043096,-0.287304,10.240001,0.031709,0.057689,-0.019718
-0.011971,-0.265756,10.187328,0.032109,0.057423,-0.020118
0.059855,-0.260968,10.201694,0.032375,0.054625,-0.019185
-0.021548,-0.260968,10.244789,0.033041,0.058089,-0.018919
0.011971,-0.222661,10.127473,0.033041,0.054358,-0.018919
-0.007183,-0.244209,10.249578,0.032642,0.057156,-0.019585
-0.079009,-0.289698,10.151415,0.032109,0.057956,-0.020118
0.014365,-0.306458,10.194510,0.031309,0.056090,-0.018919
-0.028730,-0.272939,10.244789,0.031309,0.057822,-0.019052
0.009577,-0.316035,10.204087,0.032375,0.057156,-0.019052
0.026336,-0.260968,10.125079,0.031576,0.057423,-0.018919
0.007183,-0.292093,10.172963,0.030910,0.057289,-0.018519
0.009577,-0.268151,10.187328,0.032242,0.056357,-0.017986
0.040701,-0.253785,10.125079,0.031709,0.054891,-0.017853
-0.031125,-0.201113,10.211270,0.033041,0.056623,-0.019985
0.083797,-0.277727,10.172963,0.032242,0.056224,-0.019052
